Entity,Year,Total number of emigrants
Micronesia,2015,41950
Micronesia,2020,50998
Micronesia (country),1990,7713
Micronesia (country),1995,12138
Micronesia (country),2000,16914
Micronesia (country),2005,18346
Micronesia (country),2010,19404
Micronesia (country),2015,20633
Micronesia (country),2020,24945
Middle Africa,1990,1922243
Middle Africa,1995,1857602
Middle Africa,2000,2439360
Middle Africa,2005,2726556
Middle Africa,2010,3007543
Middle Africa,2015,3816990
Middle Africa,2020,4420662
Middle-income countries,1990,88958999
Middle-income countries,1995,98929758
Middle-income countries,2000,109879954
Middle-income countries,2005,123912679
Middle-income countries,2010,144581899
Middle-income countries,2015,157981964
Middle-income countries,2020,177395834
Moldova,1990,625680
Moldova,1995,620030
Moldova,2000,602773
Moldova,2005,715496
Moldova,2010,827409
Moldova,2015,929759
Moldova,2020,1159443
Monaco,1990,4475
Monaco,1995,4784
Monaco,2000,5124
Monaco,2005,19103
Monaco,2010,26954
Monaco,2015,29317
Monaco,2020,32552
Mongolia,1990,24466
Mongolia,1995,27694
Mongolia,2000,30648
Mongolia,2005,42354
Mongolia,2010,57405
Mongolia,2015,65485
Mongolia,2020,82098
Montenegro,1990,77384
Montenegro,1995,144640
Montenegro,2000,183451
Montenegro,2005,148013
Montenegro,2010,148754
Montenegro,2015,134028
Montenegro,2020,132965
Montserrat,1990,7178
Montserrat,1995,11586
Montserrat,2000,16132
Montserrat,2005,15810
Montserrat,2010,17378
Montserrat,2015,20136
Montserrat,2020,24582
Morocco,1990,1748116
Morocco,1995,1883924
Morocco,2000,2077010
Morocco,2005,2470656
Morocco,2010,2860702
Morocco,2015,2971770
Morocco,2020,3262222
Mozambique,1990,2222354
Mozambique,1995,812685
Mozambique,2000,644421
Mozambique,2005,662951
Mozambique,2010,797808
Mozambique,2015,596949
Mozambique,2020,640160
Myanmar,1990,685308
Myanmar,1995,911445
Myanmar,2000,1224310
Myanmar,2005,1736590
Myanmar,2010,2492274
Myanmar,2015,2842494
Myanmar,2020,3711751
Namibia,1990,16077
Namibia,1995,28220
Namibia,2000,49348
Namibia,2005,65598
Namibia,2010,99599
Namibia,2015,50410
Namibia,2020,47770
Nauru,1990,1419
Nauru,1995,1511
Nauru,2000,1593
Nauru,2005,1869
Nauru,2010,2130
Nauru,2015,2267
Nauru,2020,2454
Nepal,1990,748053
Nepal,1995,856028
Nepal,2000,977396
Nepal,2005,1289629
Nepal,2010,1712697
Nepal,2015,2270166
Nepal,2020,2599701
Netherlands,1990,716471
Netherlands,1995,726856
Netherlands,2000,747631
Netherlands,2005,790554
Netherlands,2010,854388
Netherlands,2015,867093
Netherlands,2020,970403
New Caledonia,1990,4148
New Caledonia,1995,4600
New Caledonia,2000,4941
New Caledonia,2005,5219
New Caledonia,2010,5377
New Caledonia,2015,5584
New Caledonia,2020,5839
New Zealand,1990,388017
New Zealand,1995,416922
New Zealand,2000,489824
New Zealand,2005,555511
New Zealand,2010,662316
New Zealand,2015,738044
New Zealand,2020,806159
Nicaragua,1990,441488
Nicaragua,1995,437711
Nicaragua,2000,501517
Nicaragua,2005,555532
Nicaragua,2010,610211
Nicaragua,2015,655577
Nicaragua,2020,718154
Niger,1990,149777
Niger,1995,177067
Niger,2000,205236
Niger,2005,304086
Niger,2010,335897
Niger,2015,374993
Niger,2020,399707
Nigeria,1990,446753
Nigeria,1995,524535
Nigeria,2000,610130
Nigeria,2005,817392
Nigeria,2010,996914
Nigeria,2015,1306526
Nigeria,2020,1670455
Niue,1990,5858
Niue,1995,5571
Niue,2000,5749
Niue,2005,5291
Niue,2010,5347
Niue,2015,5348
Niue,2020,5186
North Korea,1990,39383
North Korea,1995,53797
North Korea,2000,72350
North Korea,2005,86763
North Korea,2010,96459
North Korea,2015,103898
North Korea,2020,110377
North Macedonia,1990,432070
North Macedonia,1995,491992
North Macedonia,2000,532132
North Macedonia,2005,458822
North Macedonia,2010,526151
North Macedonia,2015,563354
North Macedonia,2020,693896
Northern Africa,1990,5286657
Northern Africa,1995,5852421
Northern Africa,2000,6441989
Northern Africa,2005,7966421
Northern Africa,2010,9251128
Northern Africa,2015,10914748
Northern Africa,2020,12282625
Northern Africa and Western Asia,1990,16365218
Northern Africa and Western Asia,1995,18069437
Northern Africa and Western Asia,2000,19437054
Northern Africa and Western Asia,2005,21867791
Northern Africa and Western Asia,2010,25313711
Northern Africa and Western Asia,2015,32606047
Northern Africa and Western Asia,2020,37563820
Northern America,1990,2802135
Northern America,1995,2946161
Northern America,2000,3149919
Northern America,2005,3512106
Northern America,2010,3969803
Northern America,2015,4014649
Northern America,2020,4327958
Northern Europe,1990,6227251
Northern Europe,1995,6202247
Northern Europe,2000,6422540
Northern Europe,2005,6780094
Northern Europe,2010,7178780
Northern Europe,2015,7315147
Northern Europe,2020,7884780
Northern Mariana Islands,1990,2517
Northern Mariana Islands,1995,2647
Northern Mariana Islands,2000,2765
Northern Mariana Islands,2005,2725
Northern Mariana Islands,2010,2611
Northern Mariana Islands,2015,2607
Northern Mariana Islands,2020,2741
Norway,1990,138289
Norway,1995,151041
Norway,2000,163834
Norway,2005,174063
Norway,2010,179971
Norway,2015,185578
Norway,2020,191392
Oceania,1990,961547
Oceania,1995,1071295
Oceania,2000,1246836
Oceania,2005,1391418
Oceania,2010,1591168
Oceania,2015,1751422
Oceania,2020,1970205
Oceania (excluding Australia and New Zealand),1990,272517
Oceania (excluding Australia and New Zealand),1995,313061
Oceania (excluding Australia and New Zealand),2000,375176
Oceania (excluding Australia and New Zealand),2005,407138
Oceania (excluding Australia and New Zealand),2010,441903
Oceania (excluding Australia and New Zealand),2015,495220
Oceania (excluding Australia and New Zealand),2020,565281
Oman,1990,12504
Oman,1995,13844
Oman,2000,15623
Oman,2005,18824
Oman,2010,20752
Oman,2015,22797
Oman,2020,25099
Other,1990,8640334
Other,1995,7477497
Other,2000,7063730
Other,2005,7820665
Other,2010,8757236
Other,2015,10918842
Other,2020,12657151
Pakistan,1990,3341086
Pakistan,1995,3340157
Pakistan,2000,3406434
Pakistan,2005,3777830
Pakistan,2010,4790584
Pakistan,2015,5798210
Pakistan,2020,6328400
Palau,1990,2957
Palau,1995,2844
Palau,2000,3998
Palau,2005,3782
Palau,2010,2619
Palau,2015,2559
Palau,2020,2656
Palestine,1990,1812673
Palestine,1995,2274589
Palestine,2000,2767331
Palestine,2005,3258102
Palestine,2010,3539908
Palestine,2015,3773988
Palestine,2020,4022791
Panama,1990,134392
Panama,1995,132978
Panama,2000,136929
Panama,2005,131417
Panama,2010,139844
Panama,2015,150210
Panama,2020,139520
Papua New Guinea,1990,3107
Papua New Guinea,1995,4059
Papua New Guinea,2000,4552
Papua New Guinea,2005,4493
Papua New Guinea,2010,4231
Papua New Guinea,2015,4980
Papua New Guinea,2020,4810
Paraguay,1990,297742
Paraguay,1995,335845
Paraguay,2000,374675
Paraguay,2005,545698
Paraguay,2010,765811
Paraguay,2015,845591
Paraguay,2020,896484
Peru,1990,313209
Peru,1995,505474
Peru,2000,694144
Peru,2005,969002
Peru,2010,1299095
Peru,2015,1410199
Peru,2020,1519635
Philippines,1990,2012499
Philippines,1995,2481963
Philippines,2000,3062665
Philippines,2005,3684528
Philippines,2010,4692695
Philippines,2015,5498232
Philippines,2020,6094307
Poland,1990,1673426
Poland,1995,1775774
Poland,2000,2047626
Poland,2005,2884657
Poland,2010,3716338
Poland,2015,4077038
Poland,2020,4825096
Polynesia,1990,146560
Polynesia,1995,160607
Polynesia,2000,185771
Polynesia,2005,190186
Polynesia,2010,198595
Polynesia,2015,223501
Polynesia,2020,258262
Portugal,1990,1871869
Portugal,1995,1920865
Portugal,2000,1993793
Portugal,2005,1743009
Portugal,2010,1927397
Portugal,2015,1971655
Portugal,2020,2081419
Puerto Rico,1990,1200245
Puerto Rico,1995,1405619
Puerto Rico,2000,1600058
Puerto Rico,2005,1640015
Puerto Rico,2010,1731818
Puerto Rico,2015,1715817
Puerto Rico,2020,1850529
Qatar,1990,12175
Qatar,1995,13302
Qatar,2000,14680
Qatar,2005,17131
Qatar,2010,20674
Qatar,2015,23574
Qatar,2020,25705
Reunion,1990,3087
Reunion,1995,2623
Reunion,2000,2360
Reunion,2005,2556
Reunion,2010,2749
Reunion,2015,2907
Reunion,2020,3064
Romania,1990,811853
Romania,1995,976732
Romania,2000,1138825
Romania,2005,2105906
Romania,2010,3363361
Romania,2015,3420714
Romania,2020,3987093
Russia,1990,12653331
Russia,1995,11587959
Russia,2000,10664764
Russia,2005,10302948
Russia,2010,10118680
Russia,2015,10179999
Russia,2020,10756697
Rwanda,1990,547717
Rwanda,1995,2060363
Rwanda,2000,318198
Rwanda,2005,289100
Rwanda,2010,334244
Rwanda,2015,503667
Rwanda,2020,492489
Saint Barthelemy,1990,0
Saint Barthelemy,1995,0
Saint Barthelemy,2000,0
Saint Barthelemy,2005,0
Saint Barthelemy,2010,0
Saint Barthelemy,2015,0
Saint Barthelemy,2020,0
Saint Helena,1990,884
Saint Helena,1995,2207
Saint Helena,2000,3715
Saint Helena,2005,3268
Saint Helena,2010,3607
Saint Helena,2015,4285
Saint Helena,2020,4885
Saint Kitts and Nevis,1990,18618
Saint Kitts and Nevis,1995,24662
Saint Kitts and Nevis,2000,30867
Saint Kitts and Nevis,2005,33317
Saint Kitts and Nevis,2010,35795
Saint Kitts and Nevis,2015,40211
Saint Kitts and Nevis,2020,50285
Saint Lucia,1990,21999
Saint Lucia,1995,30672
Saint Lucia,2000,39556
Saint Lucia,2005,46897
Saint Lucia,2010,50318
Saint Lucia,2015,57939
Saint Lucia,2020,71227
Saint Martin (French part),1990,0
Saint Martin (French part),1995,0
Saint Martin (French part),2000,0
Saint Martin (French part),2005,0
Saint Martin (French part),2010,0
Saint Martin (French part),2015,0
Saint Martin (French part),2020,0
Saint Pierre and Miquelon,1990,483
Saint Pierre and Miquelon,1995,477
Saint Pierre and Miquelon,2000,484
Saint Pierre and Miquelon,2005,426
Saint Pierre and Miquelon,2010,390
Saint Pierre and Miquelon,2015,400
Saint Pierre and Miquelon,2020,433
Saint Vincent and the Grenadines,1990,37010
Saint Vincent and the Grenadines,1995,45669
Saint Vincent and the Grenadines,2000,53543
Saint Vincent and the Grenadines,2005,55611
Saint Vincent and the Grenadines,2010,55435
Saint Vincent and the Grenadines,2015,62292
Saint Vincent and the Grenadines,2020,55525
Samoa,1990,74861
Samoa,1995,81952
Samoa,2000,94541
Samoa,2005,99230
Samoa,2010,104820
Samoa,2015,116855
Samoa,2020,135732
San Marino,1990,1413
San Marino,1995,2456
San Marino,2000,3494
San Marino,2005,2907
San Marino,2010,2266
San Marino,2015,3688
San Marino,2020,2407
Sao Tome and Principe,1990,13965
Sao Tome and Principe,1995,19261
Sao Tome and Principe,2000,25145
Sao Tome and Principe,2005,29859
Sao Tome and Principe,2010,30928
Sao Tome and Principe,2015,35162
Sao Tome and Principe,2020,39608
Saudi Arabia,1990,107045
Saudi Arabia,1995,130911
Saudi Arabia,2000,153614
Saudi Arabia,2005,178744
Saudi Arabia,2010,215338
Saudi Arabia,2015,282906
Saudi Arabia,2020,299268
Senegal,1990,370243
Senegal,1995,359061
Senegal,2000,394608
Senegal,2005,470508
Senegal,2010,547495
Senegal,2015,594507
Senegal,2020,693765
Serbia,1990,742547
Serbia,1995,914112
Serbia,2000,1131919
Serbia,2005,960621
Serbia,2010,936001
Serbia,2015,826891
Serbia,2020,1003962
Seychelles,1990,35633
Seychelles,1995,27798
Seychelles,2000,19244
Seychelles,2005,23487
Seychelles,2010,25932
Seychelles,2015,27483
Seychelles,2020,29258
Sierra Leone,1990,61853
Sierra Leone,1995,457827
Sierra Leone,2000,509098
Sierra Leone,2005,151886
Sierra Leone,2010,126730
Sierra Leone,2015,139296
Sierra Leone,2020,152486
Singapore,1990,156444
Singapore,1995,168100
Singapore,2000,192930
Singapore,2005,235683
Singapore,2010,282421
Singapore,2015,324639
Singapore,2020,348464
Sint Maarten (Dutch part),1990,707
Sint Maarten (Dutch part),1995,914
Sint Maarten (Dutch part),2000,1186
Sint Maarten (Dutch part),2005,1246
Sint Maarten (Dutch part),2010,3303
Sint Maarten (Dutch part),2015,1929
Sint Maarten (Dutch part),2020,2191
Slovakia,1990,132977
Slovakia,1995,191610
Slovakia,2000,251533
Slovakia,2005,271828
Slovakia,2010,260656
Slovakia,2015,347385
Slovakia,2020,419651
Slovenia,1990,91447
Slovenia,1995,108611
Slovenia,2000,118659
Slovenia,2005,119399
Slovenia,2010,122948
Slovenia,2015,136538
Slovenia,2020,160197
Small island developing States (SIDS),1990,5452503
Small island developing States (SIDS),1995,6572361
Small island developing States (SIDS),2000,7793822
Small island developing States (SIDS),2005,8501316
Small island developing States (SIDS),2010,9401155
Small island developing States (SIDS),2015,10467162
Small island developing States (SIDS),2020,11559408
Solomon Islands,1990,2212
Solomon Islands,1995,2542
Solomon Islands,2000,2728
Solomon Islands,2005,2999
Solomon Islands,2010,3371
Solomon Islands,2015,3886
Solomon Islands,2020,4270
Somalia,1990,848055
Somalia,1995,968956
Somalia,2000,1006128
Somalia,2005,1060953
Somalia,2010,1595328
Somalia,2015,2008490
Somalia,2020,2034221
South Africa,1990,308120
South Africa,1995,385988
South Africa,2000,501600
South Africa,2005,601803
South Africa,2010,743807
South Africa,2015,786554
South Africa,2020,914901
South America,1990,4310588
South America,1995,5345387
South America,2000,6433510
South America,2005,8852885
South America,2010,11159697
South America,2015,11779471
South America,2020,17612735
South Korea,1990,1513162
South Korea,1995,1694236
South Korea,2000,1875408
South Korea,2005,1974513
South Korea,2010,2252321
South Korea,2015,2152532
South Korea,2020,2204554
South Sudan,1990,514943
South Sudan,1995,438044
South Sudan,2000,342628
South Sudan,2005,228537
South Sudan,2010,402616
South Sudan,2015,1060678
South Sudan,2020,2575870
South-Eastern Asia,1990,7725395
South-Eastern Asia,1995,9694248
South-Eastern Asia,2000,12088166
South-Eastern Asia,2005,14537009
South-Eastern Asia,2010,18113912
South-Eastern Asia,2015,20787865
South-Eastern Asia,2020,23580736
Southern Africa,1990,576752
Southern Africa,1995,604456
Southern Africa,2000,732312
Southern Africa,2005,904614
Southern Africa,2010,1199813
Southern Africa,2015,1129951
Southern Africa,2020,1278435
Southern Asia,1990,25384128
Southern Asia,1995,22910124
Southern Asia,2000,24435349
Southern Asia,2005,26428791
Southern Asia,2010,33850093
Southern Asia,2015,39053098
Southern Asia,2020,43394045
Southern Europe,1990,10622826
Southern Europe,1995,11889956
Southern Europe,2000,12651345
Southern Europe,2005,11535218
Southern Europe,2010,11728125
Southern Europe,2015,12045253
Southern Europe,2020,14017111
Spain,1990,1439004
Spain,1995,1362409
Spain,2000,1290614
Spain,2005,1114465
Spain,2010,1087071
Spain,2015,1269283
Spain,2020,1489823
Sri Lanka,1990,883684
Sri Lanka,1995,923530
Sri Lanka,2000,979093
Sri Lanka,2005,1151553
Sri Lanka,2010,1454292
Sri Lanka,2015,1656253
Sri Lanka,2020,1960025
Sub-Saharan Africa,1990,15334807
Sub-Saharan Africa,1995,16488973
Sub-Saharan Africa,2000,15638014
Sub-Saharan Africa,2005,17274985
Sub-Saharan Africa,2010,19942724
Sub-Saharan Africa,2015,24197211
Sub-Saharan Africa,2020,28284538
Sudan,1990,584935
Sudan,1995,775375
Sudan,2000,885660
Sudan,2005,1277632
Sudan,2010,1235193
Sudan,2015,1842602
Sudan,2020,2104887
Suriname,1990,177857
Suriname,1995,191535
Suriname,2000,211219
Suriname,2005,248782
Suriname,2010,258715
Suriname,2015,254612
Suriname,2020,273209
Sweden,1990,205942
Sweden,1995,225655
Sweden,2000,256610
Sweden,2005,267953
Sweden,2010,291904
Sweden,2015,302408
Sweden,2020,327581
Switzerland,1990,325580
Switzerland,1995,339249
Switzerland,2000,370442
Switzerland,2005,502289
Switzerland,2010,624385
Switzerland,2015,644855
Switzerland,2020,713623
Syria,1990,620285
Syria,1995,661278
Syria,2000,707070
Syria,2005,813361
Syria,2010,1057322
Syria,2015,6447843
Syria,2020,8457214
Taiwan,1990,0
Taiwan,1995,0
Taiwan,2000,0
Taiwan,2005,0
Taiwan,2010,0
Taiwan,2015,0
Taiwan,2020,0
Tajikistan,1990,537699
Tajikistan,1995,555426
Tajikistan,2000,541183
Tajikistan,2005,586235
Tajikistan,2010,584647
Tajikistan,2015,585060
Tajikistan,2020,586851
Tanzania,1990,203043
Tanzania,1995,229151
Tanzania,2000,215460
Tanzania,2005,234918
Tanzania,2010,262172
Tanzania,2015,294102
Tanzania,2020,327863
Thailand,1990,306924
Thailand,1995,411878
Thailand,2000,531028
Thailand,2005,631678
Thailand,2010,769257
Thailand,2015,921690
Thailand,2020,1086985
Togo,1990,193827
Togo,1995,309616
Togo,2000,267164
Togo,2005,405803
Togo,2010,417178
Togo,2015,495380
Togo,2020,545409
Tokelau,1990,1684
Tokelau,1995,1810
Tokelau,2000,2061
Tokelau,2005,2090
Tokelau,2010,2168
Tokelau,2015,2171
Tokelau,2020,2112
Tonga,1990,32665
Tonga,1995,38208
Tonga,2000,46444
Tonga,2005,48337
Tonga,2010,51521
Tonga,2015,59203
Tonga,2020,74550
Trinidad and Tobago,1990,197440
Trinidad and Tobago,1995,251142
Trinidad and Tobago,2000,307795
Trinidad and Tobago,2005,322906
Trinidad and Tobago,2010,350517
Trinidad and Tobago,2015,368633
Trinidad and Tobago,2020,330519
Tunisia,1990,465549
Tunisia,1995,476933
Tunisia,2000,486964
Tunisia,2005,579009
Tunisia,2010,615732
Tunisia,2015,774376
Tunisia,2020,902268
Turkey,1990,2512944
Turkey,1995,2771731
Turkey,2000,2847334
Turkey,2005,2577305
Turkey,2010,2708930
Turkey,2015,3073534
Turkey,2020,3411408
Turkmenistan,1990,260005
Turkmenistan,1995,243523
Turkmenistan,2000,224398
Turkmenistan,2005,231939
Turkmenistan,2010,234635
Turkmenistan,2015,238531
Turkmenistan,2020,242554
Turks and Caicos Islands,1990,2308
Turks and Caicos Islands,1995,1533
Turks and Caicos Islands,2000,740
Turks and Caicos Islands,2005,1190
Turks and Caicos Islands,2010,2197
Turks and Caicos Islands,2015,2454
Turks and Caicos Islands,2020,2689
Tuvalu,1990,2350
Tuvalu,1995,2738
Tuvalu,2000,2611
Tuvalu,2005,2917
Tuvalu,2010,3011
Tuvalu,2015,3203
Tuvalu,2020,3670
Uganda,1990,311591
Uganda,1995,361969
Uganda,2000,517776
Uganda,2005,586602
Uganda,2010,731768
Uganda,2015,786229
Uganda,2020,781440
Ukraine,1990,5545517
Ukraine,1995,5606133
Ukraine,2000,5596518
Ukraine,2005,5566382
Ukraine,2010,5429876
Ukraine,2015,5797550
Ukraine,2020,6139144
United Arab Emirates,1990,79499
United Arab Emirates,1995,97928
United Arab Emirates,2000,111082
United Arab Emirates,2005,125618
United Arab Emirates,2010,155609
United Arab Emirates,2015,178324
United Arab Emirates,2020,203214
United Kingdom,1990,3789316
United Kingdom,1995,3708650
United Kingdom,2000,3860006
United Kingdom,2005,4145206
United Kingdom,2010,4432928
United Kingdom,2015,4379366
United Kingdom,2020,4732510
United States,1990,1726213
United States,1995,1827431
United States,2000,1979327
United States,2005,2296999
United States,2010,2670652
United States,2015,2717761
United States,2020,2996223
United States Virgin Islands,1990,2309
United States Virgin Islands,1995,3030
United States Virgin Islands,2000,3814
United States Virgin Islands,2005,3638
United States Virgin Islands,2010,3711
United States Virgin Islands,2015,3953
United States Virgin Islands,2020,3908
Upper-middle-income countries,1990,46251718
Upper-middle-income countries,1995,53059271
Upper-middle-income countries,2000,59585818
Upper-middle-income countries,2005,65735241
Upper-middle-income countries,2010,74175415
Upper-middle-income countries,2015,77576140
Upper-middle-income countries,2020,87648518
Uruguay,1990,237486
Uruguay,1995,233993
Uruguay,2000,235641
Uruguay,2005,298986
Uruguay,2010,338438
Uruguay,2015,353225
Uruguay,2020,367060
Uzbekistan,1990,1427980
Uzbekistan,1995,1515731
Uzbekistan,2000,1575965
Uzbekistan,2005,1730224
Uzbekistan,2010,1888942
Uzbekistan,2015,1976024
Uzbekistan,2020,2027823
Vanuatu,1990,4869
Vanuatu,1995,5611
Vanuatu,2000,6242
Vanuatu,2005,7264
Vanuatu,2010,7692
Vanuatu,2015,6751
Vanuatu,2020,7246
Vatican,1990,10
Vatican,1995,26
Vatican,2000,41
Vatican,2005,110
Vatican,2010,175
Vatican,2015,310
Vatican,2020,174
Venezuela,1990,185492
Venezuela,1995,241864
Venezuela,2000,317753
Venezuela,2005,437087
Venezuela,2010,560528
Venezuela,2015,709140
Venezuela,2020,5415337
Vietnam,1990,1505588
Vietnam,1995,1842320
Vietnam,2000,2158532
Vietnam,2005,2376225
Vietnam,2010,2630742
Vietnam,2015,2909491
Vietnam,2020,3392025
Wallis and Futuna,1990,6484
Wallis and Futuna,1995,6943
Wallis and Futuna,2000,7401
Wallis and Futuna,2005,7436
Wallis and Futuna,2010,7465
Wallis and Futuna,2015,11227
Wallis and Futuna,2020,11917
Western Africa,1990,5051069
Western Africa,1995,6292141
Western Africa,2000,6386350
Western Africa,2005,7451068
Western Africa,2010,8211176
Western Africa,2015,9425980
Western Africa,2020,10558152
Western Asia,1990,11078561
Western Asia,1995,12217016
Western Asia,2000,12995065
Western Asia,2005,13901370
Western Asia,2010,16062583
Western Asia,2015,21691299
Western Asia,2020,25281195
Western Europe,1990,6100528
Western Europe,1995,6375212
Western Europe,2000,6833240
Western Europe,2005,7466886
Western Europe,2010,8226254
Western Europe,2015,8394738
Western Europe,2020,9177420
Western Sahara,1990,168238
Western Sahara,1995,167146
Western Sahara,2000,166060
Western Sahara,2005,131288
Western Sahara,2010,170195
Western Sahara,2015,185885
Western Sahara,2020,194932
World,1990,152986157
World,1995,161289976
World,2000,173230585
World,2005,191446828
World,2010,220983187
World,2015,247958644
World,2020,280598105
Yemen,1990,455492
Yemen,1995,486249
Yemen,2000,529396
Yemen,2005,628869
Yemen,2010,876383
Yemen,2015,1095240
Yemen,2020,1301166
Zambia,1990,85201
Zambia,1995,140895
Zambia,2000,160201
Zambia,2005,181499
Zambia,2010,182766
Zambia,2015,184371
Zambia,2020,200700
Zimbabwe,1990,204363
Zimbabwe,1995,287995
Zimbabwe,2000,351985
Zimbabwe,2005,500773
Zimbabwe,2010,754643
Zimbabwe,2015,1167064
Zimbabwe,2020,1243314
